,temperature,el_loadprofile,th_loadprofile,heatpump,bev_at_home,bev_battery,bev,pv,current_demand,current_production,temp_residual,current_residual,home_battery_soc,electrical_storage_charge,electrical_storage_discharge,done,action,reward,bev_charge_flag,heatpump_flag,thermal_storage,th_soc,cost,specific_cost
41,20.25,0.0005372666666666668,0.0881923618752672,0.0,0,6.25,0.0,0.04189548417461809,0.0005372666666666668,0.04189548417461809,-0.04135821750795142,-0.04135821750795142,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,56.105148764023795,414861.48744267,0.003351638733969447,0.08
42,19.9,0.00029486666666666666,0.09092190135699907,0.0,0,6.0,0.0,0.05969428940378354,0.00029486666666666666,0.05969428940378354,-0.059399422737116875,-0.059399422737116875,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,55.641266786193796,414276.99615060416,0.004775543152302684,0.08000000000000002
43,19.55,0.00034960000000000004,0.09365144083873092,0.0,0,5.75,0.0,-0.0001,0.00034960000000000004,-0.0001,0.00044960000000000003,0.00044960000000000003,0.0,0.0,0.0,True,0,0.0,0,0,55.17747213996461,413692.6148963554,0.0001044,0.2986270022883295
44,19.2,0.00037473333333333335,0.09638098032046277,1.7112017181012835,0,5.5,0.0,-0.0001,1.7115764514346168,-0.0001,1.7116764514346168,1.7116764514346168,0.0,0.0,0.0,True,1,0.0,0,1,55.70448477982603,414356.6508225808,0.4279111128586542,0.2500099323638075
45,18.95,0.0003173333333333333,0.09666334647374537,1.7214284175451666,0,5.25,0.0,-0.0001,1.7217457508785,-0.0001,1.7218457508785,1.7218457508785,0.0,0.0,0.0,True,2,0.0,1,1,56.23072780757451,415019.7170375438,0.43045343771962497,0.2500098736994073
46,18.7,0.00027360000000000004,0.09694571262702797,0.0,1,5.25,0.0,-0.0001,0.00027360000000000004,-0.0001,0.00037360000000000003,0.00037360000000000003,0.0,0.0,0.0,True,0,-1.0,0,0,55.76548219264174,414433.50756272854,8.54e-05,0.3121345029239766
47,18.45,0.0001728,0.09722807878031059,1.7421095481513984,1,16.0,19.055,-0.0001,20.7972823481514,-0.0001,20.797382348151398,20.797382348151398,0.0,0.0,0.0,True,3,-1.0,0,1,56.29153072140065,415096.3287089648,5.199337587037849,0.2500008174144927
48,18.2,0.00030786666666666665,0.09751044493359319,1.7525650191106699,1,16.0,0.0,-0.0001,1.7528728857773366,-0.0001,1.7529728857773366,1.7529728857773366,0.0,0.0,0.0,True,1,0.0,0,1,56.81681094361369,415758.18178895325,0.43823522144433413,0.2500096983644039
49,18.05,0.00027346666666666663,0.09393380699201352,1.7588753708665674,1,16.0,0.0,-0.0001,1.759148837533234,-0.0001,1.759248837533234,1.759248837533234,0.0,0.0,0.0,True,2,0.0,0,1,57.34208853825953,416420.031558207,0.4398042093833085,0.2500096637644509
50,17.9,0.0004986000000000001,0.09035716905043385,1.7652136616381264,1,16.0,0.0,-0.0001,1.7657122616381264,-0.0001,1.7658122616381264,1.7658122616381264,0.0,0.0,0.0,True,2,0.0,0,1,57.86736350889629,417081.87802120927,0.4414450654095316,0.2500096278427518
