,temperature,el_loadprofile,th_loadprofile,heatpump,bev_at_home,bev_battery,bev,pv,current_demand,current_production,temp_residual,current_residual,electrical_storage_charge,electrical_storage_discharge,done,action,reward,bev_charge_flag,heatpump_flag,thermal_storage,th_soc
13,13.65,0.00038153333333333336,0.16271802932070503,3.9137515992934384,1,16.0,0,-0.0001,3.914133132626772,-0.0001,0.0,3.914233132626772,0,0,False,1,-1.0,0,1,79.04881359685021,443770.5051320312
14,13.8,0.000367,0.1727553708339718,3.8993998511677073,1,16.0,0,-0.0001,3.899766851167707,-0.0001,0.0,3.8998668511677073,0,0,False,1,-1.0,0,1,80.51908740622827,445623.0501318476
15,13.95,0.00023219999999999998,0.18279271234723854,3.88511018216184,1,16.0,0,0.03356462229744807,3.88534238216184,0.03356462229744807,0.0,3.851777759864392,0,0,False,1,-1.0,0,1,81.98538138068,447470.58053965674
16,14.1,0.0004178666666666667,0.1928300538605053,3.870882382735586,1,16.0,0,0.0713829269115601,3.8713002494022524,0.0713829269115601,0.0,3.799917322490692,0,0,False,1,-1.0,0,1,83.44770090956507,449313.103146052
17,14.25,0.0010112,0.19275936835689075,3.856716242343515,1,16.0,0,0.1346716239879259,3.8577274423435153,0.1346716239879259,0.0,3.7230558183555895,0,0,False,1,-1.0,0,1,84.90805421999761,451153.148317197
18,14.399999999999999,0.0009429999999999999,0.1926886828532762,3.8426115494762363,1,16.0,0,0.11852813299214923,3.843554549476236,0.11852813299214923,0.0,3.725026416484087,0,0,False,1,-1.0,0,1,86.36644397456507,452990.719407952
19,14.549999999999999,0.000491,0.19261799734966165,3.828568091700868,1,16.0,0,0.1832926940779185,3.829059091700868,0.1832926940779185,0.0,3.6457663976229493,0,0,False,1,-1.0,0,1,87.82287283224935,454825.81976863416
20,14.7,0.0003890666666666667,0.1925473118460471,3.8145856557007622,0,15.75,0,0.15803892072993542,3.814974722367429,0.15803892072993542,0.0,3.6569358016374935,0,0,False,1,-1.0,0,1,89.27734344843162,456658.4527450238
21,14.85,0.0007099333333333333,0.18533739047736253,3.8006640273145367,0,15.75,0,0.14121317641496053,3.80137396064787,0.14121317641496053,0.0,3.6601607842329096,0,0,False,1,-1.0,0,1,90.73127307175241,458490.404070408
22,15.0,0.0005781333333333333,0.17812746910867794,3.7868029915743637,0,15.75,0,0.2851916088413626,3.787381124907697,0.2851916088413626,0.0,3.5021895160663346,0,0,False,1,-1.0,0,1,92.18466243480623,460321.6746678558
23,15.15,0.0004937333333333334,0.17091754773999335,3.7730023327435847,0,15.75,0,0.5109607901012954,3.773496066076918,0.5109607901012954,0.0,3.2625352759756225,0,0,False,1,-1.0,0,1,93.63751226919544,462152.2654591862
24,15.3,0.0010771333333333335,0.16370762637130878,3.7592618343536164,0,15.75,0,0.8552090895809359,3.7603389676869496,0.8552090895809359,0.0,2.9051298781060138,0,0,False,1,-1.0,0,1,95.08982330553187,463982.1773649701
25,15.825,0.0005069333333333333,0.1601026656869665,3.711640712288257,0,15.75,0,1.25,3.7121476456215903,1.25,0.0,2.4621476456215903,0,0,False,1,-1.0,0,1,96.5408819720555,465810.5112847899
26,16.35,0.00036486666666666674,0.1564977050026242,3.664744517329189,0,15.75,0,1.25,3.6651093839958557,1.25,0.0,2.4151093839958557,0,0,False,1,-1.0,0,1,97.99068996468384,467637.26935550163
27,16.875,0.00017646666666666666,0.1528927443182819,3.6185637976827056,0,15.75,0,1.072553539263321,3.6187402643493725,1.072553539263321,0.0,2.5461867250860513,0,0,False,1,-1.0,0,1,99.43924897703783,469462.4537110676
28,17.4,0.0013755999999999998,0.1492877836339396,3.573089036948171,0,15.75,0,0.9215931536110031,3.574464636948171,0.9215931536110031,0.0,2.652871483337168,0,0,False,1,-1.0,0,1,100.88656070044482,471286.0664825605
29,17.349999999999998,0.0007871333333333333,0.14589487946044097,3.5773898124362895,0,15.75,0,1.25,3.5781769457696226,1.25,0.0,2.3281769457696226,0,0,False,1,-1.0,0,1,102.33258480621373,473108.05685582926
30,17.299999999999997,0.0007291333333333333,0.14250197528694236,3.581696912724112,0,15.75,0,0.9297028711066312,3.5824260460574453,0.9297028711066312,0.0,2.6527231749508142,0,0,False,1,-1.0,0,1,103.77732303799326,474928.4270278715
31,17.25,0.00041673333333333334,0.13910907111344373,3.5860103460881,0,15.75,0,0.46630914445423993,3.586427079421433,0.46630914445423993,0.0,3.120117934967193,0,0,False,1,-1.0,0,1,105.2207771370712,476747.1791927097
32,17.2,0.00041860000000000004,0.1357161669399451,3.590330120801684,0,15.75,0,0.2528439821340803,3.590748720801684,0.2528439821340803,0.0,3.337904738667604,0,0,False,1,-1.0,0,1,106.6629488423772,478564.3155413952
33,16.925,0.0004930666666666667,0.13260600478090467,3.614202602760325,0,15.75,0,0.6180970873245111,3.6146956694269914,0.6180970873245111,0.0,2.9965985821024805,0,0,False,1,-1.0,0,1,108.10378386684835,480379.7676722289
34,16.65,0.0003113333333333333,0.12949584262186428,3.638268534542818,0,15.75,0,1.25,3.6385798678761514,1.25,0.0,2.3885798678761514,0,0,False,1,-1.0,0,1,109.54328402057337,482193.5378659224
35,16.375,0.00039866666666666674,0.12638568046282386,3.6625292866428762,0,15.75,0,1.25,3.662927953309543,1.25,0.0,2.412927953309543,0,0,False,1,-1.0,0,1,110.98145111118953,484005.62840009877
36,16.1,0.0001928,0.12327551830378346,3.6869862253825922,0,15.75,0,1.25,3.6871790253825925,1.25,0.0,2.4371790253825925,0,0,False,1,-1.0,0,1,112.41828694388664,485816.0415492971
37,16.35,0.0004176666666666667,0.12172043722426326,3.664744517329189,0,15.75,0,1.25,3.665162183995856,1.25,0.0,2.415162183995856,0,0,False,1,-1.0,0,1,113.85348519140166,487624.39134116605
38,16.6,0.00044446666666666656,0.12016535614474305,3.64266504951766,0,15.75,0,1.25,3.6431095161843263,1.25,0.0,2.3931095161843263,0,0,False,1,-1.0,0,1,115.28704807129787,489430.6805698353
39,16.85,0.000493,0.11861027506522284,3.6207467958631194,0,15.75,0,1.1563954743420306,3.6212397958631195,1.1563954743420306,0.0,2.464844321521089,0,0,False,1,-1.0,0,1,116.7189777981356,491234.91202565085
40,17.1,0.00043739999999999995,0.11705519398570265,3.598988727355479,0,15.75,0,1.1566934892055483,3.599426127355479,1.1566934892055483,0.0,2.4427326381499306,0,0,False,1,-1.0,0,1,118.14927658347631,493037.0884951801
41,17.25,0.0014336,0.11627765344594254,3.5860103460881,0,15.75,0,1.1488356595275575,3.5874439460881,1.1488356595275575,0.0,2.4386082865605423,0,0,False,1,-1.0,0,1,119.5777925708826,494837.018639312
42,17.4,0.0006323333333333334,0.11550011290618245,3.573089036948171,0,15.75,0,0.8532554721622752,3.5737213702815045,0.8532554721622752,0.0,2.7204658981192296,0,0,False,1,-1.0,0,1,121.00452817455994,496634.7054999455
43,17.55,0.0004974666666666665,0.11472257236642236,3.560224576474127,0,15.75,0,1.25,3.5607220431407938,1.25,0.0,2.3107220431407938,0,0,False,1,-1.0,0,1,122.42948580544464,498430.15211486025
44,17.7,0.0007028666666666667,0.11394503182666225,3.547416740976179,0,15.75,0,0.9452986499597177,3.548119607642846,0.9452986499597177,0.0,2.6028209576831283,0,0,False,1,-1.0,0,1,123.85266787120827,500223.36151772237
45,17.25,0.0005164,0.11366228981220403,3.5860103460881,0,15.75,0,0.8951712661180502,3.5865267460881,0.8951712661180502,0.0,2.6913554799700496,0,0,False,1,-1.0,0,1,125.27397873489559,502014.21320596844
46,16.8,0.0004074666666666666,0.11337954779774581,3.625117598814905,0,15.75,0,1.25,3.625525065481572,1.25,0.0,2.375525065481572,0,0,False,1,-1.0,0,1,126.69342093042621,503802.71037233697
47,16.35,0.0003093333333333333,0.1130968057832876,3.664744517329189,0,15.75,0,1.25,3.6650538506625225,1.25,0.0,2.4150538506625225,0,0,False,1,-1.0,0,1,128.1109969882882,505588.8562052431
48,15.9,0.00022746666666666668,0.11281406376882937,3.704897092222632,0,15.75,0,1.25,3.705124558889299,1.25,0.0,2.455124558889299,0,0,False,1,-1.0,0,1,129.52670943554295,507372.6538887841
49,15.35,0.0003563333333333333,0.11387434632304769,3.7546949996952597,0,15.75,0,0.3770365299924741,3.755051333028593,0.3770365299924741,0.0,3.378014803036119,0,0,False,1,-1.0,0,1,130.94029468355023,509153.77130127326
